Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
AG-349-D03	56.49	1.73	Neural Network (Specific Model)	11	0.964	31293	288.84383202099735	682396	0.3	762	43	82387	None
AG-898-K13	65.53	0.37	Neural Network (Specific Model)	11	0.96	28395	291.97316219369895	779237	0.3	857	50	103177	None
AG-349-D13	29.76	0.1	Neural Network (Specific Model)	11	0.965	19926	292.39756097560974	371078	0.3	410	28	41349	None
AG-349-F08	72.06	0.0	Neural Network (Specific Model)	11	0.963	62877	293.60215053763443	762921	0.3	837	33	161414	None
AG-349-F15	49.58	0.08	Neural Network (Specific Model)	11	0.965	18092	286.3636363636364	585421	0.3	660	47	73113	None
AG-898-P22	21.83	0.0	Neural Network (Specific Model)	11	0.967	20910	291.3641456582633	321760	0.3	357	24	50940	None
AG-899-A09	12.11	0.02	Neural Network (Specific Model)	11	0.964	24254	269.26160337552744	197982	0.3	237	14	39527	None
AG-349-L02	42.65	0.88	Neural Network (Specific Model)	11	0.966	21461	289.75625	573949	0.3	640	41	91265	None
AG-349-M09	45.52	0.01	Neural Network (Specific Model)	11	0.963	27318	289.88795986622074	537932	0.3	598	38	44437	None
AG-349-M11	24.75	0.01	Neural Network (Specific Model)	11	0.963	13899	269.7703488372093	288196	0.3	344	31	27767	None
AG-349-N16	26.1	0.02	Neural Network (Specific Model)	11	0.964	17821	265.91525423728814	291870	0.31	354	30	43409	None
AG-899-I19	29.98	0.06	Neural Network (Specific Model)	11	0.973	31952	292.403785488959	284760	0.3	317	17	72573	None
AG-349-P22	46.45	0.57	Neural Network (Specific Model)	11	0.964	26632	303.51953125	723151	0.33	768	47	92247	None
AG-359-E20	74.36	0.95	Neural Network (Specific Model)	11	0.966	33834	297.78709677419357	1000761	0.29	1085	49	140963	None
AG-899-P06	23.06	1.52	Neural Network (Specific Model)	11	0.961	21710	285.95348837209303	305560	0.3	344	22	40947	None
AG-359-J06	82.2	0.15	Neural Network (Specific Model)	11	0.964	36815	289.140350877193	1073355	0.29	1197	55	117835	None
AG-900-C07	76.44	0.07	Neural Network (Specific Model)	11	0.964	54167	296.23766364551864	912480	0.29	993	36	175984	None
AG-900-F19	60.01	0.48	Neural Network (Specific Model)	11	0.961	41917	289.4337997847147	836421	0.3	929	49	100184	None
AG-360-D04	59.99	0.01	Neural Network (Specific Model)	11	0.962	25960	286.09891435464414	737377	0.3	829	46	60145	None
AG-360-K10	80.47	0.06	Neural Network (Specific Model)	11	0.965	40458	291.7641025641026	1058403	0.29	1170	48	156245	None
AG-365-K17	41.43	0.14	Neural Network (Specific Model)	11	0.961	16010	291.8201058201058	514666	0.28	567	47	60650	None
AG-904-B13	37.74	0.62	Neural Network (Specific Model)	11	0.97	19532	289.045197740113	472466	0.3	531	44	36547	None
AG-897-K15	58.84	0.03	Neural Network (Specific Model)	11	0.97	35931	289.4929214929215	693538	0.29	777	45	79338	None
AG-343-J14	21.89	0.02	Neural Network (Specific Model)	11	0.952	15645	304.76428571428573	268141	0.31	280	26	32910	None
AG-897-O11	82.23	0.59	Neural Network (Specific Model)	11	0.965	72333	295.6006711409396	1091099	0.29	1192	35	169701	None
AG-343-K22	59.03	0.01	Neural Network (Specific Model)	11	0.961	28417	287.99087353324643	687483	0.3	767	45	121206	None
AG-898-A03	79.62	0.11	Neural Network (Specific Model)	11	0.962	98628	301.43308395677474	1127743	0.29	1203	41	183227	None
AG-343-M11	75.27	0.48	Neural Network (Specific Model)	11	0.96	49118	291.80224929709465	969891	0.29	1067	37	132896	None
AG-343-M06	20.58	0.43	Neural Network (Specific Model)	11	0.963	15405	286.9387254901961	363349	0.29	408	39	31793	None
AG-343-M22	39.66	0.05	Neural Network (Specific Model)	11	0.956	19213	290.521484375	465551	0.28	512	36	47942	None
AG-898-D09	73.88	0.01	Neural Network (Specific Model)	11	0.965	34651	300.7142857142857	965275	0.29	1036	53	70782	None
AG-343-O15	41.7	0.02	Neural Network (Specific Model)	11	0.959	10410	292.0043352601156	630136	0.28	692	78	25295	None
AG-898-E17	80.4	0.17	Neural Network (Specific Model)	11	0.967	51223	297.4884341637011	1034482	0.29	1124	36	219519	None
AG-343-P08	18.18	0.0	Neural Network (Specific Model)	11	0.965	10796	280.75657894736844	264594	0.29	304	31	25379	None
AG-898-F23	76.64	0.02	Neural Network (Specific Model)	11	0.965	96987	306.4462596732588	1104587	0.3	1163	30	188975	None
AG-349-A02	71.75	0.03	Neural Network (Specific Model)	11	0.966	80744	287.71472081218275	876912	0.3	985	28	135322	None
AG-349-A08	79.6	0.02	Neural Network (Specific Model)	11	0.967	65169	308.56973293768544	964960	0.3	1011	29	109742	None
AG-898-I06	34.34	0.37	Neural Network (Specific Model)	11	0.957	14930	280.5352622061483	484920	0.29	553	47	52235	None
AG-349-B04	35.35	0.04	Neural Network (Specific Model)	11	0.971	18689	295.085201793722	405458	0.29	446	32	41919	None
AG-898-I20	66.77	0.05	Neural Network (Specific Model)	11	0.968	42634	299.4533053515215	882296	0.3	953	43	96671	None
AG-349-B13	56.07	0.05	Neural Network (Specific Model)	11	0.963	21821	292.35660847880297	728138	0.3	802	53	73177	None
AG-898-J08	32.63	0.01	Neural Network (Specific Model)	11	0.963	21935	298.6253369272237	344192	0.29	371	20	47315	None
AG-349-D08	84.9	0.01	Neural Network (Specific Model)	11	0.961	67623	293.6162436548223	900439	0.3	985	32	116083	None
AG-898-K21	75.4	0.15	Neural Network (Specific Model)	11	0.966	60563	305.19710144927535	978068	0.29	1035	33	204242	None
AG-349-D19	81.35	0.25	Neural Network (Specific Model)	11	0.964	92942	292.5315581854043	919735	0.3	1014	27	138382	None
AG-349-E03	61.1	0.09	Neural Network (Specific Model)	11	0.961	23945	292.5038002171553	838728	0.29	921	59	68594	None
AG-898-M21	29.84	0.0	Neural Network (Specific Model)	11	0.963	19193	278.9872029250457	473754	0.3	547	44	39971	None
AG-898-N11	63.46	0.13	Neural Network (Specific Model)	11	0.964	22577	296.31690929451287	821122	0.3	893	58	51329	None
AG-349-F21	73.16	0.63	Neural Network (Specific Model)	11	0.967	90568	295.5435684647303	880655	0.3	964	30	240309	None
AG-898-N20	57.81	0.21	Neural Network (Specific Model)	11	0.965	48751	287.9520725388601	688618	0.29	772	33	87506	None
AG-349-G09	49.49	0.1	Neural Network (Specific Model)	11	0.968	51313	296.08567208271785	619042	0.3	677	28	99989	None
AG-349-G17	37.15	0.03	Neural Network (Specific Model)	11	0.961	24065	297.096	346745	0.3	375	30	48435	None
AG-349-I07	41.52	0.0	Neural Network (Specific Model)	11	0.97	39664	288.2431289640592	419771	0.3	473	24	77825	None
AG-349-J06	37.43	0.04	Neural Network (Specific Model)	11	0.964	27135	273.5838779956427	389368	0.3	459	39	49849	None
AG-899-B05	84.5	0.19	Neural Network (Specific Model)	11	0.963	138556	298.09674861221254	1166945	0.29	1261	36	197777	None
AG-899-C16	69.29	0.03	Neural Network (Specific Model)	11	0.962	73535	296.90157068062825	881426	0.29	955	27	187720	None
AG-899-C17	84.93	0.07	Neural Network (Specific Model)	11	0.967	78113	306.92668371696504	1113599	0.29	1173	32	143118	None
AG-349-K23	67.99	0.24	Neural Network (Specific Model)	11	0.963	30923	296.6912209889001	913025	0.3	991	49	147966	None
AG-349-L11	70.53	0.0	Neural Network (Specific Model)	11	0.966	119982	295.00615384615384	890386	0.29	975	25	341817	None
AG-349-L23	72.92	0.0	Neural Network (Specific Model)	11	0.962	31444	301.66187050359713	912480	0.3	973	41	139911	None
AG-899-G03	79.24	0.03	Neural Network (Specific Model)	11	0.967	49372	301.68938656280426	957889	0.29	1027	43	209369	None
AG-899-J13	14.65	0.0	Neural Network (Specific Model)	11	0.954	12473	276.8817204301075	161546	0.3	186	22	15266	None
AG-349-P20	41.53	0.04	Neural Network (Specific Model)	11	0.96	19044	288.11698113207547	475731	0.3	530	37	60837	None
AG-359-D17	22.12	0.05	Neural Network (Specific Model)	11	0.968	19205	272.2388535031847	263806	0.3	314	25	49132	None
AG-359-E04	16.71	0.03	Neural Network (Specific Model)	11	0.963	10498	285.404984423676	284280	0.3	321	38	25171	None
AG-359-E10	81.47	0.08	Neural Network (Specific Model)	11	0.958	52057	295.1520979020979	1053650	0.3	1144	36	183828	None
AG-899-O16	81.12	0.17	Neural Network (Specific Model)	11	0.967	54042	296.64392156862743	1169641	0.3	1275	46	183531	None
AG-359-G16	43.13	0.0	Neural Network (Specific Model)	11	0.966	27867	291.5062893081761	573725	0.3	636	34	75948	None
AG-359-G19	12.01	0.0	Neural Network (Specific Model)	11	0.97	43336	306.74117647058824	160853	0.33	170	10	62708	None
AG-359-I14	54.77	0.02	Neural Network (Specific Model)	11	0.962	48322	289.08839779005524	650718	0.3	724	26	94222	None
AG-359-J17	38.28	0.0	Neural Network (Specific Model)	11	0.963	36816	279.41946902654865	490072	0.29	565	32	74836	None
AG-359-L13	69.85	0.08	Neural Network (Specific Model)	11	0.967	65813	301.390873015873	939174	0.29	1008	33	122579	None
AG-900-E19	4.57	0.0	Neural Network (Specific Model)	11	0.964	7390	222.172131147541	83829	0.3	122	16	10145	None
AG-900-F09	61.16	0.01	Neural Network (Specific Model)	11	0.959	26932	283.25940860215053	656782	0.3	744	48	59983	None
AG-359-P11	67.28	0.12	Neural Network (Specific Model)	11	0.966	25083	292.81544028950543	751510	0.29	829	43	53228	None
AG-900-I15	49.57	0.91	Neural Network (Specific Model)	11	0.959	23926	279.35849056603774	600128	0.3	689	44	52956	None
AG-360-A16	51.56	0.02	Neural Network (Specific Model)	11	0.956	39636	298.11650485436894	672558	0.3	721	34	69335	None
AG-360-F06	13.61	0.0	Neural Network (Specific Model)	11	0.97	11932	305.1415525114155	206020	0.29	219	24	24762	None
AG-900-N20	61.91	0.07	Neural Network (Specific Model)	11	0.966	40165	295.34120425029516	774388	0.29	847	55	94234	None
AG-360-G14	30.88	0.05	Neural Network (Specific Model)	11	0.967	11622	274.316384180791	450098	0.28	531	60	34301	None
AG-360-G20	48.0	0.12	Neural Network (Specific Model)	11	0.958	18017	287.1747747747748	497529	0.3	555	44	71360	None
AG-360-L05	19.49	0.0	Neural Network (Specific Model)	11	0.968	33465	299.14649681528664	290494	0.3	314	14	78617	None
AG-901-F08	17.85	0.0	Neural Network (Specific Model)	11	0.97	23995	283.171974522293	274290	0.3	314	15	63562	None
AG-901-I20	28.57	0.02	Neural Network (Specific Model)	11	0.967	25562	274.4716553287982	374332	0.29	441	28	64496	None
AG-897-P04	70.52	0.01	Neural Network (Specific Model)	11	0.959	27842	290.6467559217302	879946	0.29	971	58	74815	None
AG-349-C18	20.13	0.0	Neural Network (Specific Model)	11	0.961	13971	280.9760273972603	255417	0.3	292	26	37134	None
AG-349-D16	70.06	0.36	Neural Network (Specific Model)	11	0.965	43250	294.2921027592769	959106	0.29	1051	46	88914	None
AG-349-E22	26.78	0.95	Neural Network (Specific Model)	11	0.965	9837	270.40085287846483	392587	0.3	469	48	74408	None
AG-349-F22	81.53	0.06	Neural Network (Specific Model)	11	0.96	118067	299.9501438159156	974312	0.3	1043	23	152457	None
AG-898-O08	67.74	0.13	Gradient Boost (General Model)	11	0.96	30506	299.70309477756285	965543	0.32	1034	48	110632	None
AG-898-O15	67.33	0.29	Neural Network (Specific Model)	11	0.968	27873	295.52191235059763	916985	0.29	1004	54	69410	None
AG-898-P18	81.23	0.12	Neural Network (Specific Model)	11	0.969	110844	300.0016339869281	1133328	0.29	1224	38	163547	None
AG-898-P17	62.78	0.18	Neural Network (Specific Model)	11	0.967	61764	306.86293206197854	796031	0.29	839	26	149844	None
AG-898-P20	61.17	0.03	Neural Network (Specific Model)	11	0.96	35835	301.5438401775805	847048	0.3	901	50	112803	None
AG-349-J02	48.29	0.0	Neural Network (Specific Model)	11	0.968	42419	291.2	584687	0.29	650	34	91323	None
AG-349-J20	43.83	0.13	Neural Network (Specific Model)	11	0.966	20584	283.9028960817717	516215	0.3	587	47	53924	None
AG-349-J21	31.0	0.09	Neural Network (Specific Model)	11	0.966	17625	279.1685912240185	374038	0.3	433	32	55009	None
AG-349-K05	82.99	0.21	Neural Network (Specific Model)	11	0.965	100885	304.35331516802904	1038610	0.29	1101	29	124513	None
AG-349-K07	42.93	0.05	Neural Network (Specific Model)	11	0.962	24533	292.14332247557	557341	0.29	614	39	111328	None
AG-349-L04	81.13	0.03	Neural Network (Specific Model)	11	0.964	97117	299.0907473309609	1043276	0.29	1124	26	146393	None
AG-349-L08	59.65	0.07	Neural Network (Specific Model)	11	0.962	48954	285.4517906336088	644177	0.3	726	29	85066	None
AG-899-D16	45.4	0.28	Neural Network (Specific Model)	11	0.965	13899	279.7641509433962	642997	0.29	742	68	30508	None
AG-899-D15	64.08	0.06	Neural Network (Specific Model)	11	0.968	45964	297.24897400820794	671626	0.3	731	32	69516	None
AG-899-E08	84.07	0.0	Neural Network (Specific Model)	11	0.968	103251	297.9314830875976	1060721	0.29	1153	29	149543	None
AG-349-M05	74.91	0.07	Neural Network (Specific Model)	11	0.963	65313	300.61134020618556	905643	0.3	970	27	120993	None
AG-349-M03	84.0	0.01	Neural Network (Specific Model)	11	0.962	49385	299.7079069767442	1001108	0.3	1075	40	144185	None
AG-899-E07	57.25	0.09	Neural Network (Specific Model)	11	0.962	35162	293.14440433212997	757439	0.29	831	46	60489	None
AG-899-E17	59.5	0.0	Neural Network (Specific Model)	11	0.956	31471	281.7124842370744	698718	0.29	793	39	64134	None
AG-349-L22	38.36	0.01	Neural Network (Specific Model)	11	0.967	24998	279.61717352415025	483200	0.3	559	31	110173	None
AG-349-M13	46.96	0.01	Neural Network (Specific Model)	11	0.961	33856	284.89739663093417	578610	0.3	653	45	75293	None
AG-349-M18	82.82	0.29	Neural Network (Specific Model)	11	0.964	132918	296.9092465753425	1075680	0.29	1168	43	304020	None
AG-349-O17	28.99	0.01	Neural Network (Specific Model)	11	0.953	12117	294.3885714285714	323309	0.3	350	35	24104	None
AG-349-P05	63.05	0.0	Neural Network (Specific Model)	11	0.969	41255	297.4890510948905	880559	0.29	959	43	102654	None
AG-349-P08	71.12	0.01	Neural Network (Specific Model)	11	0.968	44865	293.19372900335946	808268	0.3	893	38	107679	None
AG-359-A02	47.61	0.03	Neural Network (Specific Model)	11	0.962	27643	281.99142857142857	613474	0.3	700	39	40774	None
AG-349-P23	57.78	0.16	Neural Network (Specific Model)	11	0.962	19298	279.4474299065421	743783	0.29	856	59	49963	None
AG-359-B17	15.79	0.0	Neural Network (Specific Model)	11	0.962	12592	265.42586750788644	261389	0.3	317	33	27819	None
AG-899-L15	58.6	0.0	Neural Network (Specific Model)	11	0.966	28230	294.27524204702627	658861	0.3	723	44	62079	None
AG-899-N09	27.1	0.01	Neural Network (Specific Model)	11	0.963	12748	295.17214700193426	473606	0.29	517	53	26090	None
AG-359-E08	29.69	1.46	Neural Network (Specific Model)	11	0.954	11994	282.7504587155963	483012	0.29	545	57	28462	None
AG-899-O19	44.05	0.1	Neural Network (Specific Model)	11	0.967	36710	298.9189944134078	662231	0.3	716	43	76874	None
AG-899-P14	29.87	0.4	Neural Network (Specific Model)	11	0.972	14972	281.4128113879004	486850	0.29	562	55	41779	None
AG-359-G13	45.06	0.28	Neural Network (Specific Model)	11	0.957	17014	293.3433734939759	608278	0.3	664	53	46355	None
AG-359-G18	83.78	0.05	Neural Network (Specific Model)	11	0.964	89222	294.7159292035398	1032735	0.29	1130	35	192079	None
AG-359-G20	77.36	0.18	Neural Network (Specific Model)	11	0.968	49161	293.9088372093023	975741	0.29	1075	43	90026	None
AG-900-A14	23.43	0.07	Neural Network (Specific Model)	11	0.969	12304	275.7299703264095	286355	0.3	337	30	33805	None
AG-900-B14	38.02	0.0	Neural Network (Specific Model)	11	0.966	14119	282.541095890411	382940	0.3	438	37	30438	None
AG-359-J03	47.49	0.03	Neural Network (Specific Model)	11	0.961	21681	280.6213183730715	622479	0.3	713	50	94098	None
AG-900-C09	58.68	0.19	Neural Network (Specific Model)	11	0.962	25006	292.21717791411044	740124	0.3	815	52	100684	None
AG-900-C18	57.61	0.01	Neural Network (Specific Model)	11	0.96	31737	296.3840206185567	716338	0.3	776	43	62186	None
AG-900-E15	55.76	0.31	Neural Network (Specific Model)	11	0.964	115146	302.2849035187287	825781	0.3	881	39	219447	None
AG-359-N03	80.89	0.2	Neural Network (Specific Model)	11	0.966	86162	307.2853556485356	1137185	0.29	1195	33	227295	None
AG-359-N22	77.37	0.4	Neural Network (Specific Model)	11	0.967	57151	297.57130657557644	1077941	0.29	1171	43	154432	None
AG-901-B19	65.35	0.01	Neural Network (Specific Model)	11	0.961	76772	303.01186239620404	794395	0.3	843	29	129122	None
AG-901-D02	46.21	0.01	Neural Network (Specific Model)	11	0.965	27532	295.70216606498195	507266	0.29	554	28	86736	None
AG-362-C14	38.39	0.5	Neural Network (Specific Model)	11	0.966	16502	280.4883303411131	483018	0.29	557	41	44517	None
AG-365-B15	22.06	0.04	Neural Network (Specific Model)	11	0.966	6823	263.99074074074076	264361	0.3	324	44	26463	None
AG-903-G09	65.91	0.0	Neural Network (Specific Model)	11	0.96	73782	289.5997506234414	723006	0.29	802	35	123420	None
AG-365-G02	60.27	0.14	Neural Network (Specific Model)	11	0.962	18142	293.11482558139534	626619	0.29	688	55	61076	None
AG-904-B15	62.69	0.09	Neural Network (Specific Model)	11	0.969	28452	300.04856787048567	743547	0.3	803	45	99872	None
AG-905-K11	27.86	0.0	Neural Network (Specific Model)	11	0.956	14084	263.4812834224599	308104	0.3	374	33	40158	None
AG-907-B07	82.29	0.01	Neural Network (Specific Model)	11	0.968	90861	306.16498625114576	1031299	0.29	1091	34	227511	None
AG-404-G19	30.44	0.01	Neural Network (Specific Model)	11	0.972	25477	280.4583333333333	331012	0.29	384	25	67825	None
AG-349-G19	68.8	0.28	Neural Network (Specific Model)	11	0.961	32141	296.6771964461994	934582	0.3	1013	43	134096	None
AG-898-P10	61.92	0.09	Neural Network (Specific Model)	11	0.966	48202	302.67078972407234	984508	0.29	1051	38	116874	None
AG-898-P07	78.58	0.2	Gradient Boost (General Model)	11	0.956	76187	303.57410296411854	1218642	0.32	1282	45	131190	None
AG-898-P19	58.17	0.06	Neural Network (Specific Model)	11	0.964	31307	301.7309523809524	786500	0.3	840	52	95190	None
AG-349-J17	35.63	0.0	Neural Network (Specific Model)	11	0.965	20881	292.69684210526316	430795	0.3	475	37	53632	None
AG-899-G21	73.65	0.01	Neural Network (Specific Model)	11	0.964	43802	291.9776833156217	852500	0.3	941	39	191857	None
AG-349-O07	40.27	0.08	Neural Network (Specific Model)	11	0.969	40347	300.0305206463196	515697	0.3	557	35	59547	None
AG-899-G20	62.54	0.18	Neural Network (Specific Model)	11	0.962	26538	294.0974808324206	834604	0.3	913	52	73847	None
AG-349-O03	73.84	0.2	Neural Network (Specific Model)	11	0.961	51778	297.9286376274328	1000871	0.29	1079	52	99473	None
AG-899-I06	74.05	0.15	Neural Network (Specific Model)	11	0.962	77670	303.5014111006585	1002761	0.3	1063	41	139854	None
AG-349-O13	78.87	0.04	Neural Network (Specific Model)	11	0.961	553488	299.34906588003935	947620	0.29	1017	24	553488	None
AG-899-I20	62.53	0.03	Neural Network (Specific Model)	11	0.966	23487	303.03590425531917	705386	0.29	752	45	56774	None
AG-349-O21	59.95	0.01	Neural Network (Specific Model)	11	0.963	44466	308.67783505154637	743944	0.3	776	33	107934	None
AG-349-O19	66.28	0.11	Neural Network (Specific Model)	11	0.962	48896	300.397479954181	815193	0.3	873	33	102800	None
AG-349-P17	28.31	0.02	Neural Network (Specific Model)	11	0.97	20397	303.43809523809523	294639	0.3	315	27	58748	None
AG-349-P19	21.78	0.0	Neural Network (Specific Model)	11	0.961	16695	297.60869565217394	276782	0.31	299	26	54562	None
AG-349-P21	16.95	0.01	Neural Network (Specific Model)	11	0.97	49269	316.46781115879827	227307	0.29	233	8	65380	None
AG-899-K23	69.06	0.42	Neural Network (Specific Model)	11	0.96	38878	292.1001150747986	790219	0.3	869	40	123375	None
AG-359-B04	80.29	0.03	Neural Network (Specific Model)	11	0.966	76623	303.2685656154629	922859	0.3	983	25	174448	None
AG-359-A22	44.49	0.07	Gradient Boost (General Model)	11	0.949	11874	264.7172859450727	516888	0.33	619	60	31564	None
AG-899-L02	58.24	0.0	Neural Network (Specific Model)	11	0.965	23103	294.4390563564875	696255	0.3	763	48	67335	None
AG-359-B14	33.09	0.0	Neural Network (Specific Model)	11	0.965	12573	275.24632352941177	463868	0.29	544	51	23829	None
AG-899-L07	61.42	0.03	Neural Network (Specific Model)	11	0.962	40596	290.3822222222222	812099	0.3	900	58	93518	None
AG-899-L21	61.05	0.01	Neural Network (Specific Model)	11	0.966	55430	287.63801452784503	735297	0.3	826	40	135923	None
AG-359-C07	60.74	0.11	Neural Network (Specific Model)	11	0.962	39937	283.54761904761904	851789	0.3	966	45	90058	None
AG-359-D02	61.72	0.02	Neural Network (Specific Model)	11	0.962	25055	280.1532934131736	726931	0.29	835	52	55767	None
AG-359-C21	46.74	0.1	Neural Network (Specific Model)	11	0.965	16712	276.9100145137881	590530	0.3	689	53	59526	None
AG-359-C17	22.41	0.02	Neural Network (Specific Model)	11	0.964	13188	269.3952380952381	350686	0.29	420	38	33482	None
AG-359-D06	38.52	0.22	Neural Network (Specific Model)	11	0.965	22597	287.5726495726496	521490	0.3	585	41	59217	None
AG-359-D08	43.38	0.01	Neural Network (Specific Model)	11	0.968	25505	289.6615598885794	642404	0.29	718	54	45178	None
AG-899-M20	81.23	0.02	Neural Network (Specific Model)	11	0.967	70077	299.1005076142132	910977	0.3	985	25	161891	None
AG-899-N03	75.81	0.01	Neural Network (Specific Model)	11	0.967	50058	298.38149197355995	976750	0.29	1059	44	135942	None
AG-899-N16	66.63	0.08	Neural Network (Specific Model)	11	0.963	34016	294.59304932735427	816195	0.29	892	48	148572	None
AG-899-O13	80.87	0.0	Neural Network (Specific Model)	11	0.964	43514	297.74282888229476	933426	0.3	1011	51	141092	None
AG-359-F10	68.88	0.14	Neural Network (Specific Model)	11	0.967	49296	292.7253787878788	955889	0.29	1056	47	89063	None
AG-359-G04	34.51	0.03	Neural Network (Specific Model)	11	0.958	14983	288.9540918163673	452191	0.3	501	52	33409	None
AG-899-P18	62.33	0.19	Neural Network (Specific Model)	11	0.96	30877	304.4643765903308	745222	0.3	786	46	82085	None
AG-899-P23	61.94	1.3	Neural Network (Specific Model)	11	0.965	27726	303.5184782608696	865316	0.3	920	62	63698	None
AG-359-I09	75.47	0.05	Neural Network (Specific Model)	11	0.96	39344	288.8874045801527	943213	0.29	1048	48	104722	None
AG-359-I19	37.87	0.09	Neural Network (Specific Model)	11	0.964	10986	279.1049069373942	511367	0.3	591	63	46848	None
AG-359-I20	77.01	0.0	Neural Network (Specific Model)	11	0.964	51365	289.8808193668529	965472	0.29	1074	40	116592	None
AG-900-C11	14.27	0.02	Neural Network (Specific Model)	11	0.97	16109	313.359477124183	148044	0.29	153	17	23410	None
AG-359-J10	34.0	0.08	Neural Network (Specific Model)	11	0.955	10485	285.1014760147601	483973	0.3	542	59	36284	None
AG-359-J18	82.4	0.14	Neural Network (Specific Model)	11	0.968	81385	306.2483498349835	1147298	0.29	1212	33	180030	None
AG-359-K09	68.94	0.03	Gradient Boost (General Model)	11	0.959	66795	301.60285714285715	988408	0.33	1050	34	131940	None
AG-900-D09	38.53	0.7	Neural Network (Specific Model)	11	0.967	43531	286.80584192439864	516290	0.3	582	37	78410	None
AG-359-L08	30.33	0.01	Neural Network (Specific Model)	11	0.972	57310	304.1900826446281	339223	0.3	363	21	120644	None
AG-359-L11	39.01	0.0	Neural Network (Specific Model)	11	0.969	22757	299.56976744186045	476987	0.3	516	30	72031	None
AG-359-L18	20.55	0.0	Neural Network (Specific Model)	11	0.964	29154	291.8378378378378	200915	0.33	222	9	45970	None
AG-359-N17	75.64	0.04	Neural Network (Specific Model)	11	0.965	172013	299.56407766990293	956239	0.29	1030	42	218656	None
AG-359-O02	84.7	0.51	Neural Network (Specific Model)	11	0.965	99950	297.97899159663865	1098312	0.29	1190	34	171248	None
AG-359-P07	80.35	0.0	Neural Network (Specific Model)	11	0.97	87827	304.8207547169811	996595	0.29	1060	24	205457	None
AG-360-A04	37.95	0.08	Neural Network (Specific Model)	11	0.964	16519	276.1696113074205	484721	0.3	566	37	98812	None
AG-360-E04	10.6	1.17	Neural Network (Specific Model)	11	0.959	12846	268.34645669291336	212674	0.3	254	24	33989	None
AG-360-F17	39.78	0.04	Neural Network (Specific Model)	11	0.968	13899	277.86071428571427	479995	0.29	560	46	30109	None
AG-360-I21	17.9	0.01	Neural Network (Specific Model)	11	0.96	16680	287.08521303258146	356595	0.29	399	36	38885	None
AG-901-B05	71.21	0.09	Neural Network (Specific Model)	11	0.963	41538	292.53361344537814	864603	0.29	952	43	82433	None
AG-360-K19	70.25	0.01	Neural Network (Specific Model)	11	0.967	48948	297.09448818897636	815823	0.29	889	29	101186	None
AG-901-C21	72.29	0.19	Neural Network (Specific Model)	11	0.96	45096	292.6404255319149	856908	0.29	940	51	111571	None
AG-901-F21	67.06	0.03	Neural Network (Specific Model)	11	0.961	49651	296.26187717265356	794920	0.3	863	31	154856	None
AG-360-O05	16.68	0.01	Neural Network (Specific Model)	11	0.962	34313	306.83516483516485	173660	0.29	182	12	40334	None
AG-901-I17	49.79	0.0	Gradient Boost (General Model)	11	0.961	124436	303.4802744425386	550748	0.34	583	12	188713	None
AG-361-M10	9.95	0.0	Neural Network (Specific Model)	11	0.975	35821	314.0	145431	0.3	151	7	52344	None
AG-901-O20	62.34	0.09	Neural Network (Specific Model)	11	0.965	41663	287.33533653846155	740682	0.29	832	30	97364	None
AG-901-P06	68.65	0.11	Neural Network (Specific Model)	11	0.959	84374	294.5126315789474	872779	0.3	950	32	266348	None
AG-903-C16	26.32	0.05	Neural Network (Specific Model)	11	0.951	12736	274.6393861892583	337247	0.29	391	40	23715	None
AG-903-D18	52.51	0.03	Neural Network (Specific Model)	11	0.958	53114	291.96332863187587	645631	0.3	709	30	107661	None
AG-365-C05	33.55	0.0	Neural Network (Specific Model)	11	0.962	11671	275.45338983050846	404190	0.28	472	45	30517	None
AG-365-C23	37.12	0.01	Neural Network (Specific Model)	11	0.963	23964	291.22080291970804	495590	0.29	548	38	52792	None
AG-903-G10	32.48	0.25	Neural Network (Specific Model)	11	0.965	28509	293.74743326488704	443597	0.3	487	26	61922	None
AG-365-G16	80.07	0.04	Neural Network (Specific Model)	11	0.962	49422	303.85247524752475	954347	0.29	1010	43	91700	None
AG-365-J21	70.88	0.09	Neural Network (Specific Model)	11	0.967	41665	302.4030172413793	867938	0.3	928	42	117464	None
AG-365-J16	32.08	0.1	Neural Network (Specific Model)	11	0.966	16958	295.59178743961354	378912	0.3	414	31	44838	None
AG-365-J14	25.06	0.0	Neural Network (Specific Model)	11	0.962	27155	287.78060046189375	387281	0.28	433	29	42146	None
AG-390-B22	24.66	0.0	Neural Network (Specific Model)	11	0.965	12278	274.54780361757105	329100	0.3	387	39	43026	None
AG-905-F23	9.98	0.48	Neural Network (Specific Model)	11	0.963	9578	280.21875	83460	0.29	96	12	15872	None
AG-390-N17	69.43	0.04	Neural Network (Specific Model)	11	0.967	45057	290.72799208704254	908430	0.29	1011	40	110703	None
AG-899-J03	65.33	0.0	Neural Network (Specific Model)	11	0.96	24119	295.597364568082	628729	0.3	683	41	70737	None
AG-359-E06	79.55	0.07	Neural Network (Specific Model)	11	0.962	50948	291.64516129032256	842054	0.3	930	34	105300	None
AG-359-E07	60.82	0.2	Neural Network (Specific Model)	11	0.968	52941	302.76258992805754	910002	0.3	973	41	99995	None
