OG_ID	cog_best	cog_best_name	cog_best_gene	cog_best_letter	cog_best_description	cog_support	n_genes	cog_rate
OG0000740	COG1792	Cell shape-determining protein MreC	MreC	D	Cell cycle control, cell division, chromosome partitioning	481	482	0.9979253112033195
OG0000741	COG0135	Phosphoribosylanthranilate isomerase	TrpF	E	Amino acid transport and metabolism	481	482	0.9979253112033195
OG0000742	COG0216	Protein chain release factor RF1	PrfA	J	Translation, ribosomal structure and biogenesis	482	482	1
OG0000743	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	LivK	E	Amino acid transport and metabolism	477	482	0.9896265560165975
OG0000743	COG3107	Outer membrane lipoprotein LpoA, binds and activates PBP1a	LpoA	M	Cell wall/membrane/envelope biogenesis	2	482	0.004149377593360996
OG0000744	COG0441	Threonyl-tRNA synthetase	ThrS	J	Translation, ribosomal structure and biogenesis	1	482	0.002074688796680498
OG0000744	COG0544	Trigger factor Tig, ribosome-bound chaperone (peptidyl-prolyl cis-trans isomerase)	Tig	O	Posttranslational modification, protein turnover, chaperones	475	482	0.9854771784232366
OG0000744	COG0620	Methionine synthase II (cobalamin-independent)	MetE	E	Amino acid transport and metabolism	1	482	0.002074688796680498
OG0000745	COG0216	Protein chain release factor RF1	PrfA	J	Translation, ribosomal structure and biogenesis	1	481	0.002079002079002079
OG0000745	COG0542	ATP-dependent Clp protease, ATP-binding subunit ClpA	ClpA	O	Posttranslational modification, protein turnover, chaperones	1	481	0.002079002079002079
OG0000745	COG3883	Uncharacterized N-terminal coiled-coil domain of peptidoglycan hydrolase CwlO	CwlO1	S	Function unknown	4	481	0.008316008316008316
OG0000746	COG1452	Lipopolysaccharide export system protein LptD/OstA, potential outer membrane flippase	LptD	M	Cell wall/membrane/envelope biogenesis	480	481	0.997920997920998
OG0000747	COG1176	ABC-type spermidine/putrescine transport system, permease component I	PotB	E	Amino acid transport and metabolism	480	481	0.997920997920998
OG0000748	COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	PurE	F	Nucleotide transport and metabolism	481	481	1
OG0000749	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	AtoC	T	Signal transduction mechanisms	478	481	0.9937629937629938
OG0000749	COG3829	RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains	RocR	K	Transcription	3	481	0.006237006237006237
OG0000750	COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family	ScpA	L	Replication, recombination and repair	481	481	1
OG0000751	COG1386	Chromosome segregation and condensation protein ScpB	ScpB	K	Transcription	481	481	1
OG0000752	COG0617	tRNA nucleotidyltransferase (CCA-adding enzyme)/poly(A) polymerase	PcnB	J	Translation, ribosomal structure and biogenesis	469	481	0.975051975051975
OG0000753	COG1194	Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs	MutY	L	Replication, recombination and repair	474	481	0.9854469854469855
OG0000754	COG1589	Cell division septal protein FtsQ	FtsQ	D	Cell cycle control, cell division, chromosome partitioning	1	481	0.002079002079002079
OG0000754	COG2980	Lipopolysaccharide export system lipoprotein LptE/RlpB	LptE	M	Cell wall/membrane/envelope biogenesis	42	481	0.08731808731808732
OG0000754	COG3889	Extracellular solute-binding protein, contains Ig-fold domain	NA	R	General function prediction only	1	481	0.002079002079002079
OG0000754	COG5468	Predicted lipoprotein involved in lipopolysaccharide assembly	NA	S	Function unknown	34	481	0.07068607068607069
OG0000754	COG5608	Dessication stress tolerance protein, LEA/WHy domain	LEA	V	Defense mechanisms	5	481	0.010395010395010396
OG0000755	COG0697	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	EamA	E	Amino acid transport and metabolism	479	481	0.9958419958419958
OG0000755	COG5006	Threonine/homoserine efflux transporter RhtA, contains EamA domain	RhtA	E	Amino acid transport and metabolism	2	481	0.004158004158004158
OG0000756	COG0484	DnaJ molecular chaperone, contains DnaJ and DnaJ_C  domains	DnaJ	O	Posttranslational modification, protein turnover, chaperones	342	481	0.7110187110187111
OG0000756	COG1287	Asparagine N-glycosylation enzyme, membrane subunit Stt3	Stt3	O	Posttranslational modification, protein turnover, chaperones	1	481	0.002079002079002079
OG0000756	COG1622	Heme/copper-type cytochrome/quinol oxidase, subunit 2	CyoA	C	Energy production and conversion	4	481	0.008316008316008316
OG0000756	COG2214	Curved DNA-binding protein CbpA, contains a DnaJ-like domain	CbpA	K	Transcription	95	481	0.19750519750519752
OG0000756	COG3696	Cu/Ag efflux pump CusA	CusA	P	Inorganic ion transport and metabolism	6	481	0.012474012474012475
OG0000757	COG5360	Uncharacterized conserved protein, heparinase superfamily	NA	R	General function prediction only	477	480	0.99375
OG0000758	COG0760	Periplasmic chaperone SurA (peptidyl-prolyl cis-trans isomerase)	SurA	O	Posttranslational modification, protein turnover, chaperones	417	480	0.86875
OG0000758	COG3883	Uncharacterized N-terminal coiled-coil domain of peptidoglycan hydrolase CwlO	CwlO1	S	Function unknown	1	480	0.0020833333333333333
OG0000759	COG0615	Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family	TagD	M	Cell wall/membrane/envelope biogenesis	1	480	0.0020833333333333333
OG0000759	COG0669	Phosphopantetheine adenylyltransferase	CoaD	H	Coenzyme transport and metabolism	479	480	0.9979166666666667
OG0000760	COG4696	NTP pyrophosphatase, MazG superfamily	MazG2	F	Nucleotide transport and metabolism	480	480	1
OG0000761	COG0414	Panthothenate synthetase	PanC	H	Coenzyme transport and metabolism	480	480	1
OG0000762	COG0457	Tetratricopeptide (TPR) repeat	TPR	R	General function prediction only	1	480	0.0020833333333333333
OG0000762	COG2956	Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain	LapB	M	Cell wall/membrane/envelope biogenesis	43	480	0.08958333333333333
OG0000762	COG3063	Type IV pilus assembly pilotin PilF, contains TPR repeats	PilF	N	Cell motility	3	480	0.00625
OG0000762	COG3914	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family	Spy	O	Posttranslational modification, protein turnover, chaperones	12	480	0.025
OG0000762	COG4235	Cytochrome c-type biogenesis protein CcmH/NrfG	NrfG	C	Energy production and conversion	306	480	0.6375
OG0000762	COG4783	Periplasmic chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains	BepA	M	Cell wall/membrane/envelope biogenesis	51	480	0.10625
OG0000762	COG4785	Lipoprotein NlpI, contains TPR repeats	NlpI	M	Cell wall/membrane/envelope biogenesis	14	480	0.029166666666666667
OG0000762	COG5010	Flp/Tad pilus assembly pilotin TadD, contains TPR repeats	TadD	W	Extracellular structures	34	480	0.07083333333333333
OG0000762	COG5616	TolB amino-terminal domain (function unknown)	TolBN	T	Signal transduction mechanisms	1	480	0.0020833333333333333
OG0000763	COG0271	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation	BolA	K	Transcription	4	480	0.008333333333333333
OG0000763	COG5007	Acid stress protein IbaG/YrbA, BolA-like family	IbaG	T	Signal transduction mechanisms	476	480	0.9916666666666667
OG0000764	COG0081	Ribosomal protein L1	RplA	J	Translation, ribosomal structure and biogenesis	480	480	1
OG0000765	COG0735	Fe2+ or Zn2+ uptake regulation protein Fur/Zur	Fur	P	Inorganic ion transport and metabolism	480	480	1
OG0000766	COG2513	2-Methylisocitrate lyase and related enzymes, PEP mutase family	PrpB	G	Carbohydrate transport and metabolism	479	479	1
OG0000767	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	HisJ	E	Amino acid transport and metabolism	479	479	1
OG0000768	COG0359	Ribosomal protein L9	RplI	J	Translation, ribosomal structure and biogenesis	476	479	0.9937369519832986
OG0000769	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase	PurC	F	Nucleotide transport and metabolism	479	479	1
OG0000770	COG1828	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS subunit	PurS	F	Nucleotide transport and metabolism	479	479	1
OG0000771	COG0802	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	TsaE	J	Translation, ribosomal structure and biogenesis	476	479	0.9937369519832986
OG0000771	COG2401	ABC-type ATPase fused to a predicted acetyltransferase domain	MK0520	R	General function prediction only	1	479	0.0020876826722338203
OG0000771	COG3267	Type II secretory pathway ATPase component GspA/ExeA/MshM	ExeA	U	Intracellular trafficking, secretion, and vesicular transport	1	479	0.0020876826722338203
OG0000771	COG5635	Predicted NTPase, NACHT family domain	NACHT	T	Signal transduction mechanisms	1	479	0.0020876826722338203
OG0000772	COG0222	Ribosomal protein L7/L12	RplL	J	Translation, ribosomal structure and biogenesis	479	479	1
OG0000773	COG1826	Twin-arginine protein secretion pathway components TatA, TatB, TatE	TatA	U	Intracellular trafficking, secretion, and vesicular transport	469	479	0.9791231732776617
OG0000774	COG4327	Uncharacterized membrane protein, DUF4212 domain	NA	S	Function unknown	479	479	1
OG0000775	COG1073	Fermentation-respiration switch esterase FrsA, DUF1100 family	FrsA	T	Signal transduction mechanisms	478	479	0.9979123173277662
OG0000776	COG0750	Membrane-associated protease RseP, regulator of RpoE activity	RseP	O	Posttranslational modification, protein turnover, chaperones	479	479	1
OG0000777	COG0438	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	RfaB	M	Cell wall/membrane/envelope biogenesis	187	478	0.3912133891213389
OG0000777	COG2827	Predicted endonuclease, GIY-YIG superfamily	YhbQ	L	Replication, recombination and repair	1	478	0.0020920502092050207
OG0000777	COG4641	Spore maturation protein CgeB	NA	D	Cell cycle control, cell division, chromosome partitioning	273	478	0.5711297071129707
OG0000778	COG0665	Glycine/D-amino acid oxidase (deaminating)	DadA	E	Amino acid transport and metabolism	477	478	0.997907949790795
OG0000778	COG1232	Protoporphyrinogen oxidase HemY/PPOX	HemY	H	Coenzyme transport and metabolism	1	478	0.0020920502092050207
OG0000779	COG0015	Adenylosuccinate lyase	PurB	F	Nucleotide transport and metabolism	478	478	1
OG0000780	COG1807	PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA	ArnT	M	Cell wall/membrane/envelope biogenesis	459	478	0.9602510460251046
OG0000781	COG0785	Cytochrome c biogenesis protein CcdA	CcdA	C	Energy production and conversion	478	478	1
OG0000782	COG0233	Ribosome recycling factor	Frr	J	Translation, ribosomal structure and biogenesis	478	478	1
OG0000783	COG0149	Triosephosphate isomerase	TpiA	G	Carbohydrate transport and metabolism	477	478	0.997907949790795
OG0000784	COG0765	ABC-type amino acid transport system, permease component	HisM	E	Amino acid transport and metabolism	477	478	0.997907949790795
OG0000785	COG1333	Cytochrome c biogenesis protein ResB	ResB	C	Energy production and conversion	2	478	0.0041841004184100415
OG0000785	COG2182	Maltose-binding periplasmic protein MalE	MalE	G	Carbohydrate transport and metabolism	1	478	0.0020920502092050207
OG0000785	COG3015	Uncharacterized lipoprotein NlpE involved in copper resistance	CutF	M	Cell wall/membrane/envelope biogenesis	14	478	0.029288702928870293
OG0000785	COG3018	Flagellar basal body lipoprotein FlgP, LPP20 family	FlgP	N	Cell motility	4	478	0.008368200836820083
OG0000785	COG4105	Outer membrane protein assembly factor BamD, BamD/ComL family	BamD	M	Cell wall/membrane/envelope biogenesis	46	478	0.09623430962343096
OG0000785	COG4259	Uncharacterized conserved protein, DUF4810 domain	NA	S	Function unknown	2	478	0.0041841004184100415
OG0000785	COG5567	Periplasmic lipoprotein LptM/YifL, part of outer membrane beta-barrel assembly machinery	YifL	M	Cell wall/membrane/envelope biogenesis	18	478	0.03765690376569038
OG0000785	COG5633	Uncharacterized conserved protein YcfL	YcfL	S	Function unknown	3	478	0.006276150627615063
OG0000786	COG0566	tRNA G18 (ribose-2'-O)-methylase SpoU	SpoU	J	Translation, ribosomal structure and biogenesis	478	478	1
OG0000787	COG2062	Phosphohistidine phosphatase SixA	SixA	T	Signal transduction mechanisms	475	477	0.9958071278825996
OG0000788	COG1196	Chromosome segregation ATPase Smc	Smc	D	Cell cycle control, cell division, chromosome partitioning	1	477	0.0020964360587002098
OG0000790	COG1472	Periplasmic beta-glucosidase and related glycosidases	BglX	G	Carbohydrate transport and metabolism	472	477	0.989517819706499
OG0000791	COG0679	Predicted permease, AEC (auxin efflux carrier) family	YfdV	R	General function prediction only	476	476	1
OG0000792	COG0238	Ribosomal protein S18	RpsR	J	Translation, ribosomal structure and biogenesis	476	476	1
OG0000793	COG4597	ABC-type amino acid transport system, permease component	BatB	E	Amino acid transport and metabolism	476	476	1
OG0000794	COG0018	Arginyl-tRNA synthetase	ArgS	J	Translation, ribosomal structure and biogenesis	475	476	0.9978991596638656
OG0000795	COG0805	Twin-arginine protein secretion pathway component TatC	TatC	U	Intracellular trafficking, secretion, and vesicular transport	476	476	1
OG0000796	COG0267	Ribosomal protein L33	RpmG	J	Translation, ribosomal structure and biogenesis	172	476	0.36134453781512604
OG0000797	COG3027	Cell division protein ZapA, inhibits GTPase activity of FtsZ	ZapA	D	Cell cycle control, cell division, chromosome partitioning	476	476	1
OG0000798	COG0574	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	PpsA	G	Carbohydrate transport and metabolism	465	476	0.976890756302521
OG0000798	COG1080	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)	PtsA	G	Carbohydrate transport and metabolism	11	476	0.023109243697478993
OG0000799	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	RimI	J	Translation, ribosomal structure and biogenesis	339	476	0.7121848739495799
OG0000799	COG1246	N-acetylglutamate synthase or related acetyltransferase, GNAT family	ArgA	E	Amino acid transport and metabolism	97	476	0.20378151260504201
OG0000799	COG1670	Protein N-acetyltransferase, RimJ/RimL family	RimL	J	Translation, ribosomal structure and biogenesis	10	476	0.02100840336134454
OG0000800	COG0534	Na+-driven multidrug efflux pump, DinF/NorM/MATE family	NorM	V	Defense mechanisms	476	476	1
OG0000801	COG1840	ABC-type transport systems for B6 and hexose phosphate, periplasmic component	AfuA	G	Carbohydrate transport and metabolism	475	475	1
OG0000802	COG1826	Twin-arginine protein secretion pathway components TatA, TatB, TatE	TatA	U	Intracellular trafficking, secretion, and vesicular transport	458	475	0.9642105263157895
OG0000803	COG3748	Uncharacterized membrane protein	NA	S	Function unknown	474	475	0.9978947368421053
OG0000804	COG0333	Ribosomal protein L32	RpmF	J	Translation, ribosomal structure and biogenesis	475	475	1
OG0000805	COG0579	L-2-hydroxyglutarate oxidase LhgO	LhgO	G	Carbohydrate transport and metabolism	465	475	0.9789473684210527
OG0000806	COG0031	Cysteine synthase	CysK	E	Amino acid transport and metabolism	469	474	0.989451476793249
OG0000806	COG0498	Threonine synthase	ThrC	E	Amino acid transport and metabolism	1	474	0.002109704641350211
OG0000806	COG1171	Threonine deaminase	IlvA	E	Amino acid transport and metabolism	4	474	0.008438818565400843
OG0000807	COG1058	ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA	CinA	L	Replication, recombination and repair	471	474	0.9936708860759493
OG0000808	COG0824	Acyl-CoA thioesterase FadM	FadM	I	Lipid transport and metabolism	474	474	1
OG0000811	COG3317	Outer membrane protein assembly factor BamC	BamC	M	Cell wall/membrane/envelope biogenesis	26	474	0.05485232067510549
OG0000811	COG4105	Outer membrane protein assembly factor BamD, BamD/ComL family	BamD	M	Cell wall/membrane/envelope biogenesis	16	474	0.03375527426160337
OG0000811	COG4380	Uncharacterized conserved protein, DUF799 domain	NA	S	Function unknown	2	474	0.004219409282700422
OG0000811	COG5510	Entericidin EcnA/EcnB	EcnA	V	Defense mechanisms	9	474	0.0189873417721519
OG0000811	COG5567	Periplasmic lipoprotein LptM/YifL, part of outer membrane beta-barrel assembly machinery	YifL	M	Cell wall/membrane/envelope biogenesis	36	474	0.0759493670886076
OG0000811	COG5633	Uncharacterized conserved protein YcfL	YcfL	S	Function unknown	1	474	0.002109704641350211
OG0000812	COG0124	Histidyl-tRNA synthetase	HisS	J	Translation, ribosomal structure and biogenesis	474	474	1
OG0000813	COG0352	Thiamine monophosphate synthase	ThiE	H	Coenzyme transport and metabolism	473	474	0.9978902953586498
OG0000814	COG0141	Histidinol dehydrogenase	HisD	E	Amino acid transport and metabolism	471	473	0.9957716701902748
OG0000815	COG0579	L-2-hydroxyglutarate oxidase LhgO	LhgO	G	Carbohydrate transport and metabolism	3	473	0.006342494714587738
OG0000815	COG0665	Glycine/D-amino acid oxidase (deaminating)	DadA	E	Amino acid transport and metabolism	3	473	0.006342494714587738
OG0000815	COG1232	Protoporphyrinogen oxidase HemY/PPOX	HemY	H	Coenzyme transport and metabolism	1	473	0.0021141649048625794
OG0000815	COG2907	Predicted flavin-containing amine oxidase	Ppro0129	R	General function prediction only	466	473	0.985200845665962
OG0000816	COG0463	Glycosyltransferase involved in cell wall bisynthesis	WcaA	M	Cell wall/membrane/envelope biogenesis	1	473	0.0021141649048625794
OG0000816	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	BcsA	N	Cell motility	1	473	0.0021141649048625794
OG0000816	COG1216	Glycosyltransferase, GT2 family	WcaE	G	Carbohydrate transport and metabolism	460	473	0.9725158562367865
OG0000817	COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	MurD	M	Cell wall/membrane/envelope biogenesis	473	473	1
OG0000818	COG0071	Small heat shock protein IbpA, HSP20 family	IbpA	O	Posttranslational modification, protein turnover, chaperones	473	473	1
OG0000819	COG1489	DNA-binding protein, stimulates sugar fermentation	SfsA	G	Carbohydrate transport and metabolism	473	473	1
OG0000820	COG1007	NADH:ubiquinone oxidoreductase subunit 2 (chain N)	NuoN	C	Energy production and conversion	473	473	1
OG0000821	COG0571	dsRNA-specific ribonuclease	Rnc	K	Transcription	473	473	1
OG0000822	COG0681	Signal peptidase I	LepB	U	Intracellular trafficking, secretion, and vesicular transport	472	473	0.9978858350951374
OG0000822	COG4959	Type IV secretion/DNA transfer system protease TraF	TraF	U	Intracellular trafficking, secretion, and vesicular transport	1	473	0.0021141649048625794
OG0000823	COG1011	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis)	YigB	H	Coenzyme transport and metabolism	473	473	1
OG0000824	COG0089	Ribosomal protein L23	RplW	J	Translation, ribosomal structure and biogenesis	473	473	1
OG0000825	COG0360	Ribosomal protein S6	RpsF	J	Translation, ribosomal structure and biogenesis	472	472	1
OG0000826	COG1381	Recombinational DNA repair protein RecO (RecF pathway)	RecO	L	Replication, recombination and repair	470	472	0.9957627118644068
OG0000827	COG3242	Uncharacterized conserved protein YjeT, DUF2065 family	YjeT	S	Function unknown	472	472	1
OG0000828	COG0415	Deoxyribodipyrimidine photolyase	PhrB	L	Replication, recombination and repair	467	472	0.989406779661017
OG0000829	COG0508	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	AceF	C	Energy production and conversion	385	471	0.8174097664543525
OG0000829	COG4845	Chloramphenicol O-acetyltransferase	CatA	V	Defense mechanisms	52	471	0.11040339702760085
OG0000830	COG0483	Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family	SuhB	G	Carbohydrate transport and metabolism	471	471	1
OG0000831	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases	Cfa	I	Lipid transport and metabolism	1	471	0.0021231422505307855
OG0000831	COG3384	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family	LigB	Q	Secondary metabolites biosynthesis, transport and catabolism	1	471	0.0021231422505307855
OG0000831	COG4380	Uncharacterized conserved protein, DUF799 domain	NA	S	Function unknown	3	471	0.006369426751592357
OG0000831	COG5633	Uncharacterized conserved protein YcfL	YcfL	S	Function unknown	13	471	0.027600849256900213
OG0000832	COG1221	Transcriptional regulators containing sigma54-interacting ATPase domain	PspF	K	Transcription	6	471	0.012738853503184714
OG0000832	COG1729	Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction	CpoB	D	Cell cycle control, cell division, chromosome partitioning	31	471	0.06581740976645435
OG0000832	COG2976	Ancillary subunit YfgM of SecYEG translocon, regulates RcsB-dependent stress response	YfgM	T	Signal transduction mechanisms	66	471	0.14012738853503184
OG0000832	COG2982	Outer membrane assembly factor AsmA	AsmA	M	Cell wall/membrane/envelope biogenesis	1	471	0.0021231422505307855
OG0000832	COG3933	Transcriptional regulator of LevR family, contains sigma54-interacting AAA domain, PTS regulation domain (PRD), and EIIA-type domain	LevR	K	Transcription	1	471	0.0021231422505307855
OG0000832	COG4235	Cytochrome c-type biogenesis protein CcmH/NrfG	NrfG	C	Energy production and conversion	2	471	0.004246284501061571
OG0000832	COG4649	TPR-like repeat domain	TPR1	S	Function unknown	137	471	0.2908704883227176
OG0000833	COG0795	Lipopolysaccharide export LptBFGC system, permease protein LptF	LptF	M	Cell wall/membrane/envelope biogenesis	464	471	0.9851380042462845
OG0000834	COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	GCD1	J	Translation, ribosomal structure and biogenesis	461	470	0.9808510638297873
OG0000834	COG1213	Choline kinase	NA	I	Lipid transport and metabolism	1	470	0.002127659574468085
OG0000835	COG0300	Short-chain dehydrogenase	YqjQ	R	General function prediction only	1	470	0.002127659574468085
OG0000835	COG0451	Nucleoside-diphosphate-sugar epimerase	WcaG	M	Cell wall/membrane/envelope biogenesis	1	470	0.002127659574468085
OG0000835	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FabG	I	Lipid transport and metabolism	468	470	0.9957446808510638
OG0000836	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	RpoD	K	Transcription	470	470	1
OG0000837	COG0073	tRNA-binding EMAP/Myf domain	EMAP	J	Translation, ribosomal structure and biogenesis	468	470	0.9957446808510638
OG0000838	COG1605	Chorismate mutase	PheA	E	Amino acid transport and metabolism	241	470	0.5127659574468085
OG0000839	COG0736	Phosphopantetheinyl transferase (holo-ACP synthase)	AcpS	I	Lipid transport and metabolism	470	470	1
OG0000840	COG0662	Mannose-6-phosphate isomerase, cupin superfamily	ManC	G	Carbohydrate transport and metabolism	27	469	0.057569296375266525
OG0000840	COG0836	Mannose-1-phosphate guanylyltransferase	CpsB	M	Cell wall/membrane/envelope biogenesis	440	469	0.9381663113006397
OG0000841	COG1589	Cell division septal protein FtsQ	FtsQ	D	Cell cycle control, cell division, chromosome partitioning	464	469	0.9893390191897654
OG0000842	COG0739	Murein endopeptidase or hydrolase activator MepM/NlpD, contains LysM domain	NlpD	M	Cell wall/membrane/envelope biogenesis	467	469	0.9957356076759062
OG0000842	COG3061	Cell division protein YtfB/OapA (opacity-associated protein A)	OapA	D	Cell cycle control, cell division, chromosome partitioning	1	469	0.0021321961620469083
OG0000843	COG1178	ABC-type Fe3+ transport system, permease component	FbpB	P	Inorganic ion transport and metabolism	469	469	1
OG0000844	COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	RibE	H	Coenzyme transport and metabolism	469	469	1
OG0000845	COG5000	Signal transduction histidine kinase NtrY involved in nitrogen fixation and metabolism regulation	NtrY	T	Signal transduction mechanisms	466	468	0.9957264957264957
OG0000846	COG0688	Phosphatidylserine decarboxylase	Psd	I	Lipid transport and metabolism	468	468	1
OG0000847	COG0488	ABC cassette proteins with duplicated ATPase domains, Uup/ABCF family	Uup	J	Translation, ribosomal structure and biogenesis	1	467	0.0021413276231263384
OG0000847	COG1123	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain	GsiA	O	Posttranslational modification, protein turnover, chaperones	1	467	0.0021413276231263384
OG0000847	COG1137	ABC-type lipopolysaccharide export system, ATPase component	LptB	M	Cell wall/membrane/envelope biogenesis	464	467	0.9935760171306209
OG0000848	COG0505	Carbamoylphosphate synthase small subunit	CarA	E	Amino acid transport and metabolism	1	467	0.0021413276231263384
OG0000848	COG0512	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	PabA	E	Amino acid transport and metabolism	392	467	0.8394004282655246
OG0000848	COG0518	GMP synthase, glutamine amidotransferase domain/subunit	GuaA1	F	Nucleotide transport and metabolism	10	467	0.021413276231263382
OG0000848	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain	PuuD	E	Amino acid transport and metabolism	62	467	0.13276231263383298
OG0000849	COG4626	Phage terminase-like protein, large subunit, contains N-terminal HTH domain	YmfN	X	Mobilome: prophages, transposons	6	467	0.01284796573875803
OG0000849	COG4772	Outer membrane receptor for Fe3+-dicitrate	FecA	P	Inorganic ion transport and metabolism	2	467	0.004282655246252677
OG0000850	COG2271	Sugar phosphate permease	UhpC	G	Carbohydrate transport and metabolism	1	467	0.0021413276231263384
OG0000850	COG2807	Cyanate permease	CynX	P	Inorganic ion transport and metabolism	3	467	0.006423982869379015
OG0000850	COG2814	Predicted arabinose efflux permease AraJ, MFS family	AraJ	G	Carbohydrate transport and metabolism	458	467	0.9807280513918629
OG0000850	COG4177	ABC-type branched-chain amino acid transport system, permease component	LivM	E	Amino acid transport and metabolism	1	467	0.0021413276231263384
OG0000851	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	LivK	E	Amino acid transport and metabolism	464	467	0.9935760171306209
OG0000852	COG1329	RNA polymerase-interacting regulator, CarD/CdnL/TRCF family	CdnL	K	Transcription	2	467	0.004282655246252677
OG0000852	COG1774	Cell fate regulator YaaT, PSP1 superfamily (controls sporulation, competence, biofilm development)	YaaT	T	Signal transduction mechanisms	4	467	0.008565310492505354
OG0000853	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	PurK	F	Nucleotide transport and metabolism	465	467	0.9957173447537473
OG0000853	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	PurT	F	Nucleotide transport and metabolism	1	467	0.0021413276231263384
OG0000854	COG1981	Protoporphyrinogen oxidase HemJ (unrelated to HemG or HemY)	HemJ	H	Coenzyme transport and metabolism	467	467	1
OG0000855	COG1121	ABC-type Mn2+/Zn2+ transport system, ATPase component	ZnuC	P	Inorganic ion transport and metabolism	1	467	0.0021413276231263384
OG0000855	COG1129	ABC-type sugar transport system, ATPase component	MglA	G	Carbohydrate transport and metabolism	2	467	0.004282655246252677
OG0000855	COG1196	Chromosome segregation ATPase Smc	Smc	D	Cell cycle control, cell division, chromosome partitioning	1	467	0.0021413276231263384
OG0000855	COG3190	Flagellar biogenesis protein FliO	FliO	N	Cell motility	74	467	0.15845824411134904
OG0000855	COG4134	ABC-type uncharacterized transport system YnjBCD, periplasmic component	YnjB	R	General function prediction only	1	467	0.0021413276231263384
OG0000855	COG5373	Uncharacterized membrane protein	NA	S	Function unknown	1	467	0.0021413276231263384
OG0000856	COG0029	Aspartate oxidase	NadB	H	Coenzyme transport and metabolism	11	467	0.023554603854389723
OG0000856	COG1053	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	SdhA	C	Energy production and conversion	451	467	0.9657387580299786
OG0000857	COG1452	Lipopolysaccharide export system protein LptD/OstA, potential outer membrane flippase	LptD	M	Cell wall/membrane/envelope biogenesis	276	466	0.592274678111588
OG0000857	COG1934	Lipopolysaccharide export system protein LptA	LptA	M	Cell wall/membrane/envelope biogenesis	9	466	0.019313304721030045
OG0000857	COG3117	Lipopolysaccharide export system protein LptC	LptC	M	Cell wall/membrane/envelope biogenesis	68	466	0.1459227467811159
OG0000857	COG5278	Extracytoplasmic sensor domain CHASE3 (specificity unknown)	CHASE3	T	Signal transduction mechanisms	1	466	0.002145922746781116
OG0000857	COG5375	Predicted lipopolysaccharide assembly protein, LptC/YrbK-like family	LptC2	M	Cell wall/membrane/envelope biogenesis	92	466	0.19742489270386265
